freq,ampl_A,ampl_B,ampl_C
2007,0.016127987,0.02716112,0.023084579
2008,0.016456025,0.02683842,0.022458458
2009,0.01622851,0.02674092,0.022698073
2010,0.015359181,0.027200108,0.02263898
2011,0.015239529,0.027408494,0.023216274
2012,0.016242607,0.027526226,0.023144675
2013,0.017104022,0.028209062,0.021508357
2014,0.016826225,0.0257184,0.022716885
2015,0.017588167,0.027979981,0.023416335
2016,0.012284636,0.027904093,0.018884512
2017,0.014787242,0.028325982,0.020250516
2018,0.018842442,0.030385267,0.017452445
2019,0.01294533,0.028481837,0.021304972
2020,0.013151631,0.031146066,0.019643776
2021,0.013884982,0.03454184,0.023574201
2022,0.012301635,0.04345815,0.009261583
2023,0.027546715,0.030117549,0.033362817
2024,0.023639208,0.025726678,0.028597903
2025,0.014311215,0.029555151,0.028061174
2026,0.03098719,0.038750917,0.0064384798
2027,0.038710695,0.03545246,0.021935167
2028,0.02693103,0.027283385,0.02436086
2029,0.013509332,0.018929463,0.029524308
2030,0.02996177,0.032664225,0.017152948
2031,0.023635667,0.027792262,0.02298994
2032,0.0278425,0.048206706,0.0250277
2033,0.014531894,0.009228877,0.038914464
2034,0.014856895,0.02469804,0.02357928
2035,0.014298863,0.021035723,0.027430678
2036,0.020048734,0.026397651,0.026383957
2037,0.013729031,0.027634567,0.01951412
2038,0.016381785,0.023785453,0.02704873
2039,0.011713166,0.021406112,0.024211071
2040,0.016087338,0.024129964,0.024402268
2041,0.015567047,0.02454627,0.024353206
2042,0.014888924,0.02439437,0.022986935
2043,0.015353807,0.024703847,0.023779128
2044,0.015516011,0.023649314,0.025159532
2045,0.015436208,0.02654273,0.025392719
2046,0.01695412,0.026006324,0.02461897
2047,0.0,0.0,0.0
2048,0.16896562,0.1520764,0.14506018
2049,0.0015234825,0.034549385,0.0231866
2050,0.006106921,0.0291116,0.022469327
2051,0.0021967024,0.038956564,0.01324806
2052,0.009822128,0.035821456,0.012681432
2053,0.011073281,0.033536408,0.013418794
2054,0.011795862,0.03638495,0.012301483
2055,0.009740285,0.033527613,0.023000846
2056,0.009327264,0.023003537,0.021928828
2057,0.007252283,0.044125177,0.026318077
2058,0.008644568,0.036384653,0.015010068
2059,0.012547699,0.024987716,0.019454233
2060,0.010521623,0.025954854,0.007299914
2061,0.0018542217,0.036335018,0.02513258
2062,0.011870749,0.029602112,0.020198185
2063,0.012496615,0.029417893,0.015627136
2064,0.0040654195,0.027330909,0.013329977
2065,0.014576903,0.029666362,0.009599926
2066,0.003598232,0.029208807,0.017996572
2067,0.0075840736,0.028374571,0.019686863
2068,0.028102888,0.028614504,0.015440884
2069,0.019598477,0.030612927,0.020756714
2070,0.014184439,0.046013236,0.013836542
2071,0.009460752,0.029363891,0.020040354
2072,0.0022404431,0.04020897,0.027368134
2073,0.0036174518,0.028475143,0.012647211
2074,0.0066403057,0.03797529,0.023325462
2075,0.014272063,0.030711858,0.022846978
2076,0.0036045269,0.036768004,0.027808186
2077,0.003178982,0.038404197,0.016244343
2078,0.0043311073,0.024378836,0.024417492
2079,0.0045557204,0.03358658,0.018907877
2080,0.0050246404,0.03329294,0.021346422
2081,0.0070177065,0.028421247,0.026930489
2082,0.017987147,0.03644964,0.032539602
2083,0.0058567594,0.029435003,0.017767193
2084,0.01165301,0.03981274,0.023723086
2085,0.029141836,0.048759464,0.025674317
2086,0.028067064,0.04636641,0.03433482
2087,0.015563569,0.043133873,0.01644942
2088,0.016539387,0.043124165,0.0246343
2089,0.020484809,0.05017982,0.020976678
2090,0.022704331,0.03690605,0.037393365
2091,0.018841485,0.04966992,0.04061303
2092,0.053542815,0.076203115,0.06698248
2093,0.041391976,0.034651592,0.034048386
2094,0.017579004,0.022432834,0.008003314
2095,0.012988768,0.041161142,0.018383408
2096,0.008136442,0.032875612,0.021248788
2097,0.005839746,0.028382823,0.01803355
2098,0.015631521,0.036812358,0.021607196
2099,0.009453993,0.0381307,0.017713184
2100,0.006806753,0.035582904,0.02201509
2101,0.011257251,0.042368,0.022225961
2102,0.011241035,0.04607207,0.021660665
2103,0.0079776,0.046829686,0.027012847
2104,0.013190052,0.04488062,0.017668145
2105,0.024027515,0.04978105,0.013050546
2106,0.009691575,0.049045827,0.028155716
2107,0.015431688,0.041145984,0.029028943
2108,0.010912894,0.0442792,0.02835943
2109,0.02124818,0.044182986,0.034046594
2110,0.0053691724,0.0487294,0.03030956
2111,0.011440728,0.054520227,0.034578633
2112,0.026406355,0.061216224,0.026623977
2113,0.006706719,0.052962583,0.039645966
2114,0.027121859,0.067423604,0.031160394
2115,0.03451522,0.03508172,0.06898608
2116,0.02677896,0.060213313,0.03920407
2117,0.044295285,0.01378563,0.09065414
2118,0.03943351,0.04304468,0.071971565
2119,0.010011,0.051888693,0.047813673
2120,0.020633254,0.06897079,0.040360823
2121,0.050633248,0.09195328,0.041837327
2122,0.07369112,0.120671794,0.0556477
2123,0.110175714,0.12268487,0.12769453
2124,0.054903034,0.101298936,0.05827291
2125,0.027528947,0.025366113,0.074868076
2126,0.17502268,0.17836425,0.2084775
2127,0.28815928,0.32741874,0.25959772
2128,0.10815194,0.10598827,0.08052705
2129,0.45858034,0.46500036,0.45619386
2130,0.46828884,0.5128396,0.42863777
2131,0.69118685,0.5917409,0.62767947
2132,0.7505202,0.7130283,0.65001214
2133,0.23509914,0.16768353,0.2443582
2134,0.12775959,0.06635463,0.11806236
2135,0.032937277,0.040910486,0.036587954
2136,0.11407397,0.08600105,0.072190225
2137,0.10791263,0.08751653,0.048500586
2138,0.07957866,0.02369993,0.07300379
2139,0.031961214,0.03317741,0.064174116
2140,0.06788104,0.011212923,0.056377932
2141,0.09204304,0.04724549,0.050064005
2142,0.06911436,0.037699673,0.014693127
2143,0.088082284,0.057390545,0.02820922
2144,0.048671346,0.02863007,0.013512452
2145,0.06484248,0.018611435,0.013019795
2146,0.029935522,0.026702797,0.041111484
2147,0.038356148,0.009277455,0.029910246
2148,0.047038198,0.026255552,0.041099716
2149,0.05951621,0.015385157,0.01805548
2150,0.0316464,0.015418255,0.033940356
2151,0.049852975,0.01642181,0.020002864
2152,0.0378171,0.011208852,0.026085524
2153,0.034413822,0.020355102,0.040577132
2154,0.032896876,0.016417777,0.027159458
2155,0.030224985,0.0151539305,0.028167838
2156,0.03212444,0.03008648,0.029321937
2157,0.026673257,0.025897596,0.028228587
2158,0.040495772,0.018158643,0.017752005
2159,0.04381237,0.027285084,0.016802676
2160,0.04101957,0.027263572,0.024345523
2161,0.03427543,0.018488314,0.029831002
